# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.2-SNAPSHOT

cosmicffa.helmet.smexycps, itemstack, 810576616C75652080CA76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F48454C4D45540A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020646973706C61792D6E616D653A20225C786137624B69742072616E646F6D220A20202020656E6368616E74733A0A20202020202050524F54454354494F4E5F454E5649524F4E4D454E54414C3A20320A
cosmicffa.ileakspvp.leave, location, 8605776F726C6480FF0000000181046E616D652080034646410178093FF9A1EA24AFE680017909402A000000000000017A093FE793886B1A57E605706974636808BEB2A65F0379617708C3343039
cosmicffa.ileakspvp.mode.normal, boolean, 00
cosmicffa.join.ileakspvp, boolean, 00
cosmicffa.join.smexycps, boolean, 00
cosmicffa.kills.ileakspvp, long, 0000000000000000
cosmicffa.kills.ileakspvp.builduhc, long, 0000000000000000
cosmicffa.kills.ileakspvp.combo, long, 0000000000000000
cosmicffa.kills.ileakspvp.normal, long, 0000000000000000
cosmicffa.kills.ileakspvp.sg, long, 0000000000000000
cosmicffa.kills.ileakspvp.soup, long, 0000000000000000
cosmicffa.kills.smexycps, long, 0000000000000000
cosmicffa.kills.smexycps.builduhc, long, 0000000000000000
cosmicffa.kills.smexycps.combo, long, 0000000000000000
cosmicffa.kills.smexycps.normal, long, 0000000000000000
cosmicffa.kills.smexycps.sg, long, 0000000000000000
cosmicffa.kills.smexycps.soup, long, 0000000000000000
cosmicffa.leggings.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.leggings.smexycps, itemstack, 810576616C75652080CC76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F4C454747494E47530A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020646973706C61792D6E616D653A20225C786137624B69742072616E646F6D220A20202020656E6368616E74733A0A20202020202050524F54454354494F4E5F454E5649524F4E4D454E54414C3A20320A
cosmicffa.lobby, location, 8605776F726C6480FF0000000181046E616D652080034646410178093FF9A1EA24AFE680017909402A000000000000017A093FE793886B1A57E605706974636808BEB2A65F0379617708C3343039
cosmicffa.slot.0.ileakspvp, itemstack, 810576616C756520803D76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20574F4F445F4158450A
cosmicffa.slot.0.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.1.ileakspvp, itemstack, 810576616C756520803A76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A2047524153530A
cosmicffa.slot.1.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.10.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.10.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.11.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.11.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.12.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.12.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.13.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.13.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.14.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.14.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.15.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.15.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.16.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.16.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.17.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.17.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.18.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.18.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.19.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.19.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.2.ileakspvp, itemstack, 810576616C756520803D76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20574F4F445F4158450A
cosmicffa.slot.2.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.20.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.20.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.21.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.21.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.22.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.22.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.23.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.23.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.24.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.24.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.25.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.25.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.26.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.26.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.27.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.27.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.28.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.28.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.29.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.29.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.3.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.3.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.30.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.30.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.31.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.31.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.32.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.32.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.33.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.33.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.34.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.34.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.35.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.35.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.4.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.4.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.5.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.5.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.6.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.6.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.7.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.7.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.8.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.8.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.9.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot.9.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.slot0.ileakspvp, itemstack, 810576616C756520803D76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20574F4F445F4158450A
cosmicffa.slot0.smexycps, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.smexycps.mode.builduhc, boolean, 00
cosmicffa.spawn.normal, location, 8605776F726C6480FF0000000181046E616D652080034646410178093FF9A1EA24AFE680017909402A000000000000017A093FE793886B1A57E605706974636808BEB2A65F0379617708C3343039
cosmicffa.streak.ileakspvp, long, 0000000000000000
cosmicffa.streak.smexycps, long, 0000000000000000
"death counter.<player>.deaths_total", long, 0000000000000000
deaths.<none>, double, 405A400000000000
deaths.smexycps, long, 0000000000000001
deaths.strafecps, double, 4045800000000000
deaths:axeltwc, double, 4008000000000000
deaths:czeck_teh, double, 4010000000000000
deaths:ileakspvp, double, 4000000000000000
deaths:strafecps, double, 403A000000000000
deaths:theslimejunior, double, 401C000000000000
elo:<none>, double, 4062200000000000
elo:axeltwc, double, 4034000000000000
elo:entity:84654f7c-fd5f-46c3-b12f-5273e04148ce, double, 4041800000000000
elo:theslimejunior, double, 4024000000000000
enderpearl.axeltwc, long, 0000000000000000
enderpearl.ileakspvp, long, 0000000000000000
enderpearl.iproxydev, long, 0000000000000000
enderpearl.smexycps, long, 0000000000000000
enderpearl.strafecps, long, 0000000000000000
enderpearl.theslimejunior, long, 0000000000000000
ffa::antirain, string, 800474727565
ffa::blood, string, 800474727565
ffa::blood::cuantity, long, 0000000000000005
ffa::bungeemode, string, 800566616C7365
ffa::bungeemode::hub, string, 80054C6F626279
ffa::firework, string, 800474727565
ffa::prefix, string, 8019C2A738C2A76C5BC2A739C2A76C464641C2A738C2A76C5D2D3E
ffa::pvp-effects, string, 800474727565
ffa::pvp-sounds, string, 800474727565
ffa::scoreboard::lines::1, string, 8014C2A736C2A76C3E20C2A765C2A76C506C61796572
ffa::scoreboard::lines::2, string, 80163C52616E646F6D2D436F6C6F723E3C506C617965723E
ffa::scoreboard::lines::3, string, 80073C456D7074793E
ffa::scoreboard::lines::4, string, 8013C2A736C2A76C3E20C2A765C2A76C4B696C6C73
ffa::scoreboard::lines::5, string, 800D2020202020203C4B696C6C733E
ffa::scoreboard::lines::6, string, 80073C456D7074793E
ffa::scoreboard::lines::7, string, 8014C2A736C2A76C3E20C2A765C2A76C446561746873
ffa::scoreboard::lines::8, string, 800E2020202020203C4465617468733E
ffa::scoreboard::lines::9, string, 80073C456D7074793E
ffa::scoreboard::lines::10, string, 8014C2A736C2A76C3E20C2A765C2A76C53747265616B
ffa::scoreboard::lines::11, string, 800E2020202020203C53747265616B3E
ffa::scoreboard::lines::12, string, 80073C456D7074793E
ffa::scoreboard::lines::13, string, 800FC2A765506C61792E4646412E4E6574
ffa::scoreboard::tittle, string, 801520202020202020C2A739C2A76C4646412020202020
ffa.axeltwc.leave, location, 8605776F726C6480FF0000000181046E616D652080074C696F6E48554201780940314ACD523A818F0179094050400000000000017A0940304015572046CA057069746368084084D4710379617708C2CE3379
ffa.axeltwc.mode.builduhc, boolean, 00
ffa.boots.axeltwc, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
ffa.boots.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
ffa.boots.theslimejunior, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
ffa.chestplate.axeltwc, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
ffa.chestplate.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
ffa.chestplate.theslimejunior, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
ffa.deaths.axeltwc, double, 4000000000000000
ffa.deaths.axeltwc.builduhc, double, 3FF0000000000000
ffa.deaths.axeltwc.combo, long, 0000000000000000
ffa.deaths.axeltwc.normal, long, 0000000000000000
ffa.deaths.axeltwc.sg, long, 0000000000000000
ffa.deaths.axeltwc.soup, long, 0000000000000000
ffa.deaths.ileakspvp, long, 0000000000000000
ffa.deaths.ileakspvp.builduhc, long, 0000000000000000
ffa.deaths.ileakspvp.combo, long, 0000000000000000
ffa.deaths.ileakspvp.normal, long, 0000000000000000
ffa.deaths.ileakspvp.sg, long, 0000000000000000
ffa.deaths.ileakspvp.soup, long, 0000000000000000
ffa.deaths.iproxydev, long, 0000000000000000
ffa.deaths.iproxydev.builduhc, long, 0000000000000000
ffa.deaths.iproxydev.combo, long, 0000000000000000
ffa.deaths.iproxydev.normal, long, 0000000000000000
ffa.deaths.iproxydev.sg, long, 0000000000000000
ffa.deaths.iproxydev.soup, long, 0000000000000000
ffa.deaths.theslimejunior, double, 4018000000000000
ffa.deaths.theslimejunior.builduhc, double, 4008000000000000
ffa.deaths.theslimejunior.combo, long, 0000000000000000
ffa.deaths.theslimejunior.normal, long, 0000000000000000
ffa.deaths.theslimejunior.sg, long, 0000000000000000
ffa.deaths.theslimejunior.soup, long, 0000000000000000
ffa.helmet.axeltwc, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
ffa.helmet.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
ffa.helmet.theslimejunior, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
ffa.ileakspvp.leave, location, 8605776F726C6480FF0000000181046E616D652080074C696F6E485542017809403E8000000000000179094050A00000000000017A09402F000000000000057069746368084017903E037961770842C4E20A
ffa.ileakspvp.mode.builduhc, boolean, 00
ffa.ileakspvp.mode.combo, boolean, 00
ffa.ileakspvp.mode.normal, boolean, 00
ffa.ileakspvp.mode.soup, boolean, 00
ffa.join.axeltwc, boolean, 00
ffa.join.ileakspvp, boolean, 00
ffa.join.iproxydev, boolean, 00
ffa.join.theslimejunior, boolean, 00
ffa.kills.<none>, double, 4010000000000000
ffa.kills.axeltwc, double, 4008000000000000
ffa.kills.axeltwc.builduhc, double, 4008000000000000
ffa.kills.axeltwc.combo, long, 0000000000000000
ffa.kills.axeltwc.normal, long, 0000000000000000
ffa.kills.axeltwc.sg, long, 0000000000000000
ffa.kills.axeltwc.soup, long, 0000000000000000
ffa.kills.ileakspvp, long, 0000000000000000
ffa.kills.ileakspvp.builduhc, long, 0000000000000000
ffa.kills.ileakspvp.combo, long, 0000000000000000
ffa.kills.ileakspvp.normal, long, 0000000000000000
ffa.kills.ileakspvp.sg, long, 0000000000000000
ffa.kills.ileakspvp.soup, long, 0000000000000000
ffa.kills.iproxydev, long, 0000000000000000
ffa.kills.iproxydev.builduhc, long, 0000000000000000
ffa.kills.iproxydev.combo, long, 0000000000000000
ffa.kills.iproxydev.normal, long, 0000000000000000
ffa.kills.iproxydev.sg, long, 0000000000000000
ffa.kills.iproxydev.soup, long, 0000000000000000
ffa.kills.theslimejunior, double, 3FF0000000000000
ffa.kills.theslimejunior.builduhc, double, 3FF0000000000000
ffa.kills.theslimejunior.combo, long, 0000000000000000
ffa.kills.theslimejunior.normal, long, 0000000000000000
ffa.kills.theslimejunior.sg, long, 0000000000000000
ffa.kills.theslimejunior.soup, long, 0000000000000000
ffa.leggings.axeltwc, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
ffa.leggings.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
ffa.leggings.theslimejunior, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
